Data      920353523  2  2 Brc rr    rr    rf        1000  200    0 
Data      920353561  2  1 Brr brc   brc   brc        800  240    0 7h Qc
Data      920353604  2  2 Brc rr    rr    rf         560  200    0 
Data      920353637  2  1 Brr brc   brc   brf        360  220    0 
Data      920353672  2  2 Brc rr    r     cA         140  140  280 4d Jd
Data      920353716  2  1 Brr brc   brc   brf        280  220    0 
Data      920353759  2  2 Brc k     k     cA          60   60    0 Th 3s
Data      920353801  2  2 Brc rr    rr    rf        1000  200    0 
Data      920353832  2  1 Brr brc   brc   brf        800  220    0 
Data      920353877  2  2 Brc rr    rr    rf         580  200    0 
Data      920353924  2  1 Brr brc   brc   bf         380  180    0 
Data      920354002  2  2 Brc rr    rr    f          200  160    0 
Data      920354056  2  1 Brc k     k     kf          40   30    0 
Data      920354099  2  2 BA  -     -     -           10   10    0 Kd 2c
