cluster,cluster_size,VPIP_centroid,PFR_centroid,vpip_minus_pfr
0,8542,36.110969116926945,8.880384755439087,27.230584361487857
1,722,84.39465699536974,74.8597437004974,9.53491329487234
2,4838,65.65114004514429,8.7439897631445,56.90715028199979
3,2337,65.59103912625848,31.998859991569304,33.592179134689175
