Data      923721544  4  3 Q   -     -     -          980    0    0 
Data      924740513  2  1 Brr brc   brc   bf         980  180    0 
Data      924740635  3  3 rr  r     rr    rf         800  180    0 
Data      924740713  3  2 Br  brc   brc   brf        620  210    0 
Data      924740767  3  1 Brr brc   brc   brf        410  220    0 
Data      924740820  2  2 Brc rr    rc    f          190  140    0 
Data      924740863  2  1 Brr kf    -     -           50   40    0 
Data      924740900  2  2 BA  -     -     -           10   10   20 8h Kh Jd 4h
Data      924740917  2  1 BrA -     -     -           20   20   40 6c Qh Td Ad
Data      924740924  2  2 BrcA -     -     -           40   40    0 7h 3d 3c Qs
Data      924740973  2  1 Brr brc   brc   brf       1000  220    0 
Data      924741028  3  3 rr  f     -     -          780   40    0 
Data      924741121  3  2 Bc  brc   brc   c          740  160    0 Ts 9s Jh 3c
Data      924741219  3  1 Brr br    krr   krf        580  190    0 
Data      924741256  4  4 r   rc    b     bc         390  130  480 9s Jc 9c As
Data      924741351  5  4 r   c     k     f          740   30    0 
Data      924741419  5  3 f   -     -     -          710    0    0 
Data      924741501  5  2 Bk  kf    -     -          710   10    0 
Data      924741538  5  1 Bf  -     -     -          700    5    0 
Data      924741576  5  5 f   -     -     -          695    0    0 
Data      924741638  7  6 f   -     -     -          695    0    0 
Data      924741699  8  6 f   -     -     -          695    0    0 
Data      924741775  9  5 f   -     -     -          695    0    0 
Data      924741884 10  5 f   -     -     -          695    0    0 
Data      924741956  9  3 f   -     -     -          695    0    0 
Data      924742058  9  3 f   -     -     -          695    0    0 
Data      924742182  9  2 Bk  k     kr    b          695   90  275 Ad Ac Tc 2c
Data      924742281  8  1 Bc  kf    -     -          880   10    0 
Data      924742390  7  7 c   c     ccc   f          870  100    0 
Data      924742492  8  6 c   f     -     -          770   10    0 
Data      924742529  7  4 crc k     f     -          760   40    0 
Data      924742616  7  3 c   c     kf    -          720   20    0 
Data      924742714  8  2 Br  kc    f     Q          700   30    0 
