Data      810583032  9  4 c   k     k     b         2000   60  140 
Data      810583122 11  3 c   b     b     -         2080   80  230 
Data      810583193 11  2 Bk  kc    bc    kf        2230  120    0 
Data      810583371  8  1 Bc  kf    -     -         2110   20    0 
Data      810583465  8  8 f   -     -     -         2090    0    0 
Data      810583489  8  7 f   -     -     -         2090    0    0 
Data      810583540  8  6 f   -     -     -         2090    0    0 
Data      810583577  8  5 c   Q     -     -         2090   20    0 
Data      810584282  6  6 f   -     -     -         2070    0    0 
Data      810584291  6  5 f   -     -     -         2070    0    0 
Data      810584316  6  4 f   -     -     -         2070    0    0 
Data      810584328  6  3 f   -     -     -         2070    0    0 
Data      810584336  6  2 B   -     -     -         2070   20   30 
Data      810584344  6  1 Bf  -     -     -         2080   10    0 
Data      810584366  6  6 f   -     -     -         2070    0    0 
Data      810584409  6  5 c   c     b     k         2070  100    0 Kd Td
Data      810584451  6  4 rc  b     b     b         1970  160  310 
Data      810584494  6  3 r   -     -     -         2120   40   70 
Data      810584504  6  2 Bf  -     -     -         2150   20    0 
Data      810584517  6  1 Bf  -     -     -         2130   10    0 
Data      810584581  6  6 f   -     -     -         2120    0    0 
Data      810584630  6  5 f   -     -     -         2120    0    0 
Data      810584667  6  4 crc k     kc    kf        2120  120    0 
Data      810584736  6  2 B   -     -     -         2000   20   30 
Data      810584746  6  1 Bf  -     -     -         2010   10    0 
Data      810584761  6  6 f   -     -     -         2000    0    0 
Data      810584785  6  5 c   b     -     -         2000   40  110 
Data      810584806  6  4 f   -     -     -         2070    0    0 
Data      810584822  6  3 f   -     -     -         2070    0    0 
Data      810584853  6  2 Bk  kf    -     -         2070   20    0 
Data      810584885  5  1 Bf  -     -     -         2050   10    0 
Data      810584910  6  6 f   -     -     -         2040    0    0 
Data      810584933  6  5 r   b     k     r         2040  140  155 8s Ah
Data      810584975  4  3 f   -     -     -         2055    0    0 
Data      810585006  4  3 f   -     -     -         2055    0    0 
Data      810585023  4  2 Bf  -     -     -         2055   20    0 
Data      810585030  5  1 Bf  -     -     -         2035   10    0 
Data      810585054  6  6 f   -     -     -         2025    0    0 
Data      810585071  6  5 c   rr    r     b         2025  220  680 Kc Jd
Data      810585119  5  3 f   -     -     -         2485    0    0 
Data      810585163  6  3 f   -     -     -         2485    0    0 
Data      810585182  6  2 Bk  kf    -     -         2485   20    0 
Data      810585227  5  1 Bf  -     -     -         2465   10    0 
Data      810585253  5  5 f   -     -     -         2455    0    0 
Data      810585282  5  4 r   kr    b     -         2455  120  260 
Data      810585313  5  3 f   -     -     -         2595    0    0 
Data      810585335  6  2 Bf  -     -     -         2595   20    0 
Data      810585343  6  1 Bf  -     -     -         2575   10    0 
Data      810585358  6  6 r   k     r     k         2565  120    0 Qs Ks
Data      810585441  5  4 f   -     -     -         2445    0    0 
Data      810585482  5  3 f   -     -     -         2445    0    0 
Data      810585499  5  2 Bf  -     -     -         2445   20    0 
Data      810585546  5  1 Bf  -     -     -         2425   10    0 
Data      810585599  5  5 f   -     -     -         2415    0    0 
Data      810585624  5  4 r   c     r     k         2415  140    0 7h As
Data      810585669  5  3 f   -     -     -         2275    0    0 
Data      810585706  5  2 Bf  -     -     -         2275   20    0 
Data      810585734  5  1 Bc  kc    kc    k         2255   80  180 7d 4d
Data      810585793  5  5 f   -     -     -         2355    0    0 
