Data      921611600  9  4 c   kf    -     -         1000   10    0 
Data      921611694  9  3 c   bc    kc    kf         990   50    0 
Data      921611803  8  2 Bk  brc   br    bc         940  170  440 Tc 8s 5c Jd
Data      921611954  9  1 Bc  kf    -     -         1210   10    0 
Data      921612123 10  7 Q   -     -     -         1200    0    0 
Data      921616973  5  5 rr  f     -     -         1200   40    0 
Data      921617096  6  4 cc  kc    kf    -         1160   30    0 
Data      921617215  7  4 KQ  -     -     -         1130    0    0 
Data      921617368  5  5 c   b     b     b         1130   60   70 Kc Tc Qs Jh
Data      921617489  4  4 c   f     -     -         1140   10    0 
Data      921617528  4  4 c   k     c     c         1130   50    0 Jc Kc As 5d
Data      921617610  3  3 c   c     c     c         1080   60    0 3c Tc 8h 7h
Data      921617672  3  2 Br  b     bc    c         1020   90    0 6d Js As Ac
Data      921617752  3  1 Br  kc    k     b          930   50  100 
Data      921617837  5  3 r   kf    -     -          980   20    0 
Data      921617948  5  2 Br  kc    kf    -          960   30    0 
Data      921618056  6  1 Bc  k     kc    k          930   30  120 Jd 3h Jh Qd
Data      921618207  6  6 r   c     c     KQ        1020   50    0 
Data      921618402  7  2 Bc  Q     -     -          970   20    0 
Data      921618561  6  5 c   f     -     -          950   20    0 
Data      921618638  6  4 c   k     b     -          930   30   80 
Data      921618694  6  3 KQ  -     -     -          980    0    0 
Data      922500190  9  4 KQ  -     -     -          980    0    0 
