k,inertia,silhouette_score
2,18086.23179422121,0.49167991450253845
3,10067.76446892261,0.45156266177140686
4,7730.942214407178,0.4419999103508701
5,5781.477452669358,0.3815784865370474
6,4775.332967204059,0.3909113875096231
7,4038.980590506732,0.35875913615340305
8,3518.0271101114263,0.36018214069668403
